,Number Turbines,Min Spacing,Mean Spacing,Max Spacing,Mean Yaw,Area,Wind Speed,Turbulence Intensity,Plant Power
0,101,670.018230196324,686.2894370006877,711.115567909964,14.231024,29999.693697584247,17.03733,0.06,342685150.0
1,30,572.1896104568212,711.0698818700731,4580.420321266658,15.366628,43555.04521025677,7.419972,0.1,41306132.0
2,188,551.1355502786494,563.2218702385564,585.2982791114805,13.11919,36673.44986557669,7.4657063,0.1,219382850.0
3,51,946.0092865472296,988.4961000174496,1443.6962183314215,13.076939,31961.861138802342,7.783563,0.08,76887000.0
4,145,920.4970874689793,966.3862416990571,3570.2288656379174,12.26764,130499.6649060921,8.310875,0.08,282136450.0
5,87,934.7341969922871,971.6378552483352,1929.8042163679277,11.548632,79091.22054367901,3.247524,0.1,6591964.0
6,189,773.2845542397763,787.570936528117,820.1988216336161,13.6789,49894.53165094053,8.1657295,0.1,305828540.0
7,57,864.16554116593,928.019711039947,1417.337937016216,14.135408,181385.46675402278,14.393208,0.06,193396800.0
8,77,604.9957029647185,651.1293640730792,1071.868538939463,12.887932,142851.64046632603,3.7296543,0.08,9691072.0
9,147,743.5556788738467,772.5355054673681,2293.578614117168,13.399647,97497.65779450776,6.576248,0.1,137888600.0
10,80,408.14537480331194,423.6188795610113,1228.5970002215922,12.95058,34828.62260091622,13.288497,0.1,271433800.0
11,154,620.3718962279956,727.4199884515924,2545.5932698307256,13.345098,141801.956006548,13.077924,0.1,522510270.0
12,45,622.6292307485373,639.3217003516286,665.4337751644022,10.886023,36259.260151191316,24.152061,0.08,152681540.0
13,49,544.7481987728318,561.3050289225006,577.9947895839289,14.026781,17754.614518776583,15.001384,0.06,166253840.0
14,113,756.6585019911192,776.4462229175201,887.3111195026632,12.188057,94301.9270664986,19.573135,0.06,383401630.0
15,31,804.4608830201153,869.6021294176436,2414.5933614869227,12.946665,61275.89337092491,6.90651,0.08,35124636.0
16,103,516.3428323261313,527.6668378799666,563.1038655931617,14.570856,25884.80336311344,19.054022,0.08,349471230.0
17,114,716.4171439892862,730.1349412343096,760.7417587707454,11.676847,35542.21383179882,5.1470375,0.08,45717170.0
18,32,518.138822561955,525.0026032282885,552.4682489844738,13.692086,38475.0572816581,13.365066,0.06,108573540.0
